,Product,Price,Ratings,Warranty,No of Ratings,No of Reviews,Features
0,"APPLE iPhone 6 (Space Grey, 16 GB)","₹52,000",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","16 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
1,"APPLE iPhone 6 (Gold, 32 GB)","₹30,780",4.4,Brand Warranty of 1 Year,"1,45,508"," 16,302","32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
2,"APPLE iPhone 6 (Space Grey, 32 GB)","₹30,780",4.4,Brand Warranty of 1 Year,"1,45,508"," 16,302","32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
3,"APPLE iPhone 6 (Silver, 16 GB)","₹36,990",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","16 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
4,"APPLE iPhone 6 (Gold, 64 GB)","₹62,500",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
5,"APPLE iPhone 6 (Gold, 128 GB)","₹49,999",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
6,"APPLE iPhone 6 (Space Grey, 64 GB)","₹44,999",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
7,"APPLE iPhone 6 (Grey, 128 GB)","₹71,500",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
8,"APPLE iPhone 6 (Silver, 128 GB)","₹71,500",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
9,"APPLE iPhone 6 (Silver, 64 GB)","₹62,000",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
10,"APPLE iPhone 11 (Black, 128 GB)","₹46,999",4.6,Brand Warranty of 1 Year,"85,796"," 6,483","128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
11,"APPLE iPhone 11 (White, 128 GB)","₹46,999",4.6,Brand Warranty of 1 Year,"85,796"," 6,483","128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
12,"APPLE iPhone 11 (White, 64 GB)","₹41,999",4.6,Brand Warranty of 1 Year,"85,796"," 6,483","64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
13,"APPLE iPhone 11 (Purple, 128 GB)","₹46,999",4.6,Brand Warranty of 1 Year,"85,796"," 6,483","128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
14,"APPLE iPhone 11 (Black, 64 GB)","₹41,999",4.6,Brand Warranty of 1 Year,"85,796"," 6,483","64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
15,"APPLE iPhone 11 (Purple, 64 GB)","₹41,999",4.6,Brand Warranty of 1 Year,"85,796"," 6,483","64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
16,"APPLE iPhone 11 (Red, 64 GB)","₹41,999",4.6,Brand Warranty of 1 Year,"85,796"," 6,483","64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
17,"APPLE iPhone 12 (White, 64 GB)","₹53,999",4.6,Brand Warranty for 1 Year,"1,73,678"," 11,944","64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Industry-leading IP68 Water Resistance,All Screen OLED Display"
18,"APPLE iPhone 12 (Blue, 64 GB)","₹53,999",4.6,Brand Warranty for 1 Year,"1,73,678"," 11,944","64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Industry-leading IP68 Water Resistance,All Screen OLED Display"
19,"APPLE iPhone 12 (White, 128 GB)","₹58,999",4.6,Brand Warranty for 1 Year,"1,73,678"," 11,944","128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Industry-leading IP68 Water Resistance,All Screen OLED Display"
20,"APPLE iPhone 13 (Midnight, 128 GB)","₹69,999",4.6,Brand Warranty for 1 Year,"7,299", 710,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera"
21,"APPLE iPhone 12 (Black, 128 GB)","₹58,999",4.6,Brand Warranty for 1 Year,"1,73,678"," 11,944","128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Industry-leading IP68 Water Resistance,All Screen OLED Display"
22,"APPLE iPhone 11 (Red, 128 GB)","₹46,999",4.6,Brand Warranty of 1 Year,"85,796"," 6,483","128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
23,"APPLE iPhone 13 (Blue, 128 GB)","₹69,999",4.6,Brand Warranty for 1 Year,"7,299", 710,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera"
24,"APPLE iPhone 6 (Space Grey, 16 GB)","₹52,000",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","16 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
25,"APPLE iPhone 6 (Gold, 32 GB)","₹30,780",4.4,Brand Warranty of 1 Year,"1,45,508"," 16,302","32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
26,"APPLE iPhone 6 (Space Grey, 32 GB)","₹30,780",4.4,Brand Warranty of 1 Year,"1,45,508"," 16,302","32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
27,"APPLE iPhone 6 (Silver, 16 GB)","₹36,990",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","16 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
28,"APPLE iPhone 6 (Gold, 64 GB)","₹62,500",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
29,"APPLE iPhone 6 (Gold, 128 GB)","₹49,999",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
30,"APPLE iPhone 6 (Space Grey, 64 GB)","₹44,999",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
31,"APPLE iPhone 6 (Grey, 128 GB)","₹71,500",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
32,"APPLE iPhone 6 (Silver, 128 GB)","₹71,500",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
33,"APPLE iPhone 6 (Silver, 64 GB)","₹62,000",4.4,1 Year Manufacturer Warranty,"1,45,508"," 16,302","64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
